User Type,Previous Page Path,Landing Page,Pageviews,Time on Page
NV,*,/,543,0
NV,*,/,2854,0
NV,*,/,489,0
NV,*,/,404,0
RV,*,/,929,0
RV,*,/,251,0
RV,*,/,440,0
RV,*,/,57,0
NV,*,/,1,14
NV,*,/,1,19
RV,*,/,1,2
RV,*,/,1,7
NV,*,/,1,119
RV,*,/,1,11
NV,*,/,1,6
NV,*,/,29,5990
NV,*,/,305,34904
NV,*,/,34,8936
NV,*,/,15,1907
RV,*,/,94,53482
RV,*,/,17,3219
RV,*,/,27,15927
RV,*,/,1,7
NV,*,/,2,1291
NV,*,/,66,3985
NV,*,/,6,1075
NV,*,/,3,758
RV,*,/,9,3822
RV,*,/,6,711
RV,*,/,4,392
NV,*,/,1,15
NV,*,/,29,1903
NV,*,/,6,1839
NV,*,/,1,59
RV,*,/,7,7264
RV,*,/,2,1
RV,*,/,2,25
NV,*,/,1,38
NV,*,/,15,1652
NV,*,/,1,97
NV,*,/,1,71
NV,*,/,7,115
NV,*,/,2,86
RV,*,/,1,114
NV,*,/,1,391
NV,*,/,6,218
RV,*,/,1,66
RV,*,/,1,9
NV,*,/,2,4
NV,*,/,2,48
NV,*,/,1,175
NV,*,/,1,8
NV,*,/,1,5
NV,*,/,1,12
RV,*,/,1,654
NV,*,/,1,18
NV,*,/,1,0
NV,*,/,1,26
NV,*,/,1,87
NV,*,/,8,61
NV,*,/,2,26
RV,*,/,1,120
NV,*,/,1,112
NV,*,/,6,1893
NV,*,/,1,1
NV,*,/,2,35
NV,*,/,1,10
NV,*,/,1,12
NV,*,/,1,43
NV,*,/,1,21
NV,*,/,1,2
NV,*,/,1,1473
NV,*,/,1,1524
NV,*,/,1,105
RV,*,/,1,2
NV,*,/,1,5
NV,*,/,1,254
RV,*,/,1,15
NV,*,/,3,310
RV,*,/,2,89
NV,*,/,3,42
NV,*,/,2,703
RV,*,/,1,247
NV,*,/,1,8
NV,*,/,1,28
NV,*,/,1,2
RV,*,/,1,31
NV,*,/,1,21
NV,*,/,1,28
RV,*,/,1,0
NV,*,/,2,15
NV,*,/,1,25
NV,*,/,1,21
RV,*,/,1,798
NV,*,/,1,76
NV,*,/,1,198
NV,*,/,1,57
NV,*,/,1,20
NV,*,/,1,127
NV,*,/,1,293
NV,*,/,1,7
NV,*,/,1,60
NV,*,/,1,7
NV,*,/,1,31
NV,*,/,1,9
NV,*,/,1,108
NV,*,/,8,1762
NV,*,/,1,318
RV,*,/,2,28
NV,*,/,1,10
NV,*,/,2,246
NV,*,/,2,11
RV,*,/,1,154
RV,*,/,1,195
NV,*,/,1,38
NV,*,/,1,64
NV,*,/,1,78
RV,*,/,1,35
NV,*,/,1,32
NV,*,/,3,59
NV,*,/,1,10
RV,*,/,1,0
